Date,Open,High,Low,Close,Adj Close,Volume
2013-11-05,17402.650390625,17429.0,17016.44921875,17040.25,17040.25,24856000
2013-11-06,17045.19921875,17136.349609375,16931.05078125,16949.75,16949.75,16142000
2013-11-07,16968.05078125,17141.69921875,16839.30078125,16904.25,16904.25,16144000
2013-11-08,16913.25,16978.400390625,16779.44921875,16835.5,16835.5,17541000
2013-11-11,16803.650390625,16852.30078125,16591.349609375,16614.349609375,16614.349609375,16392000
2013-11-12,16685.94921875,16797.650390625,16648.849609375,16727.099609375,16727.099609375,12037000
2013-11-13,16727.69921875,16735.5,16510.05078125,16543.400390625,16543.400390625,23045000
2013-11-14,16507.599609375,16726.0,16507.599609375,16596.55078125,16596.55078125,13160000
2013-11-18,16668.69921875,17093.19921875,16668.69921875,17059.650390625,17059.650390625,19576000
2013-11-19,17074.650390625,17088.94921875,16934.69921875,16976.900390625,16976.900390625,13559000
2013-11-20,16976.900390625,17055.5,16793.900390625,16823.150390625,16823.150390625,18300000
2013-11-21,16764.30078125,16780.55078125,16471.94921875,16509.75,16509.75,16688000
2013-11-22,16590.900390625,16653.94921875,16366.900390625,16414.80078125,16414.80078125,16062000
2013-11-25,16541.900390625,16794.650390625,16522.80078125,16763.55078125,16763.55078125,13234000
2013-11-26,16745.44921875,16770.30078125,16558.05078125,16606.400390625,16606.400390625,36859000
2013-11-27,16577.400390625,16773.650390625,16577.400390625,16732.44921875,16732.44921875,14997000
2013-11-28,16808.25,16857.099609375,16698.75,16765.849609375,16765.849609375,18760000
2013-11-29,16766.05078125,17044.5,16766.05078125,17004.0,17004.0,11157000
2013-12-02,17036.349609375,17098.75,16949.150390625,17013.5,17013.5,10290000
2013-12-03,17029.94921875,17029.94921875,16862.150390625,16886.80078125,16886.80078125,12748000
2013-12-04,16874.94921875,16891.849609375,16614.80078125,16643.30078125,16643.30078125,11448000
2013-12-05,16799.19921875,16857.400390625,16445.5,16469.44921875,16469.44921875,17668000
2013-12-06,16505.25,16594.30078125,16472.099609375,16505.44921875,16505.44921875,16833000
2013-12-09,16763.44921875,16784.849609375,16506.900390625,16571.0,16571.0,13917000
2013-12-10,16568.75,16752.80078125,16568.75,16724.150390625,16724.150390625,19291000
2013-12-11,16716.599609375,16858.44921875,16716.599609375,16829.150390625,16829.150390625,13295000
